"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"TRBV6-6",2.48576999503699e-45,8.11357212999912,0.018,0,6.8890629642455e-41,"TRBV6-6","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SQOR",8.36038131887736e-45,8.76497289550132,0.016,0,2.31699607871367e-40,"SQOR","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TEN1",1.00937234215808e-44,4.78571028702251,0.018,0.001,2.79737450905689e-40,"TEN1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC025159.1",1.37109835843339e-44,8.87405814062732,0.016,0,3.7998619905623e-40,"AC025159.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TRAPPC2B",1.37109835843339e-44,8.94735257752539,0.016,0,3.7998619905623e-40,"TRAPPC2B","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"KYAT3",2.24853179493459e-44,8.86065611618494,0.016,0,6.23158101648171e-40,"KYAT3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"TMEM35B",2.24853179860875e-44,8.87064238895204,0.016,0,6.2315810266643e-40,"TMEM35B","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MAN2B1",3.07999884102111e-44,1.58636832057927,0.047,0.016,8.53590878800591e-40,"MAN2B1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"RTL8C",6.04677450203504e-44,8.81380479969071,0.016,0,1.67580308549399e-39,"RTL8C","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NR4A3",9.96550690963023e-44,2.05045295321291,0.041,0.013,2.76184058493492e-39,"NR4A3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
